Intertion times,Searching times,Insert Collisions,Search Collisions
208, 428,4346,3671
214, 175,4547,874
208, 232,4335,2122
229, 167,7756,1327
216, 241,4680,1340
264, 169,5557,946
450, 104,8981,320
291, 462,9388,2751
292, 268,10429,2886
241, 124,5875,620
327, 78,10099,268
212, 87,5471,317
212, 151,7480,1115
230, 143,6240,1386
269, 179,8309,1885
232, 323,5538,3006
198, 139,4681,1817
200, 122,6994,1052
265, 80,8138,176
318, 444,9994,2685
314, 152,3518,2179
179, 121,3896,808
135, 132,3216,1267
272, 191,1630,2567
192, 75,3790,251
171, 122,2894,1497
124, 421,2536,5943
270, 147,7470,1694
285, 142,7331,1782
333, 288,4772,4532
192, 105,4540,1094
123, 109,3223,1377
145, 154,2134,2339
153, 95,2567,734
149, 159,2295,1475
110, 140,2457,2300
156, 84,2717,692
172, 131,3611,1760
172, 184,3526,3013
277, 130,2921,1936
152, 152,4781,2460
174, 138,3606,1932
213, 236,4960,4527
213, 103,4684,1330
194, 77,6660,569
387, 71,14460,623
568, 208,23533,3570
900, 102,40087,1474
968, 168,43741,2893
656, 144,30050,2385
997, 305,45150,5578
606, 118,25421,1751
859, 90,37470,1035
571, 390,23038,3647
743, 137,26515,1892
575, 85,23635,970
564, 77,23321,775
626, 191,26537,3607
851, 220,39822,4329
1357, 364,57999,6489
2353, 242,104443,4364
17370, 220,749868,1143
60120, 3137,2737009,27488
