Intertion times,Searching times,Insert Collisions,Search Collisions
97, 90,1007,382
140, 74,950,300
223, 78,1070,396
142, 104,1008,478
101, 69,1060,227
143, 110,1055,655
138, 143,933,809
145, 100,1096,483
136, 85,1190,607
90, 78,1010,337
133, 98,1102,718
316, 87,1100,451
276, 87,1230,489
99, 82,1283,438
148, 98,1561,818
138, 92,1201,473
149, 99,1557,768
144, 95,1374,454
113, 112,1691,772
152, 85,1683,391
151, 83,1651,599
154, 93,1712,588
142, 119,1416,968
115, 99,1821,589
169, 102,2161,645
155, 116,1741,1046
162, 93,2037,566
126, 147,2126,1221
177, 157,2454,1424
184, 115,2623,1101
208, 206,2492,2392
184, 145,2675,1541
147, 166,2858,2243
184, 111,2658,925
210, 186,3530,2223
239, 141,3966,1623
180, 162,3847,1692
238, 181,4388,2347
234, 198,4271,2432
270, 119,5278,1307
296, 177,6149,2159
297, 256,7591,3617
332, 295,7287,4728
419, 358,9969,6167
603, 574,12834,10012
604, 580,16992,6453
1166, 810,27713,16179
3136, 2964,89124,63294
